Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
Sportium,10,2021/03/14  1:34 pm,2021/03/14  1:38 pm,-€10.00,11,-279,-500
Sportium,10,2021/03/14  1:27 pm,2021/03/14  1:33 pm,-€10.00,23,-657,-500
Sportium,10,2021/03/14  1:26 pm,2021/03/14  1:34 pm,-€10.00,16,-349,-500
Sportium,10,2021/03/14  1:21 pm,2021/03/14  1:27 pm,-€10.00,17,53,-500
Sportium,10,2021/03/14  1:19 pm,2021/03/14  1:26 pm,-€10.00,22,8,-500
Sportium,10,2021/03/14  1:18 pm,2021/03/14  1:21 pm,-€10.00,5,-31,-500
Sportium,10,2021/03/14  1:14 pm,2021/03/14  1:18 pm,-€10.00,14,-360,-500
Sportium,10,2021/03/14  1:06 pm,2021/03/14  1:10 pm,-€10.00,10,169,-500
Sportium,10,2021/03/14  1:06 pm,2021/03/14  1:13 pm,-€10.00,27,-691,-500
Sportium,10,2021/03/14 12:41 pm,2021/03/14 12:45 pm,-€10.00,12,-298,-500
Sportium,10,2021/03/14 12:39 pm,2021/03/14 12:42 pm,-€10.00,11,-320,-500
Sportium,10,2021/03/14 12:32 pm,2021/03/14 12:34 pm,-€10.00,7,106,-500
Sportium,10,2021/03/14 12:31 pm,2021/03/14 12:34 pm,-€10.00,8,30,-500
Sportium,10,2021/03/14 12:29 pm,2021/03/14 12:30 pm,-€10.00,5,138,-500
Sportium,10,2021/03/14 12:28 pm,2021/03/14 12:31 pm,-€10.00,11,-360,-500
Sportium,10,2021/03/14 12:26 pm,2021/03/14 12:27 pm,-€10.00,5,-415,-500
Sportium,10,2021/03/14 12:17 pm,2021/03/14 12:22 pm,-€10.00,15,480,-500
Sportium,10,2021/03/14 12:11 pm,2021/03/14 12:16 pm,-€10.00,13,-487,-500
Sportium,10,2021/03/14 12:11 pm,2021/03/14 12:18 pm,-€10.00,27,112,-500
Sportium,10,2021/03/14 11:48 am,2021/03/14 11:52 am,-€10.00,14,493,-500
Sportium,10,2021/03/14 11:43 am,2021/03/14 11:47 am,-€10.00,13,-305,-500
Sportium,10,2021/03/14 11:42 am,2021/03/14 11:45 am,-€10.00,8,-290,-500
Sportium,10,2021/03/14 11:40 am,2021/03/14 11:42 am,-€10.00,6,532,-500
Sportium,10,2021/03/14 11:33 am,2021/03/14 11:41 am,-€10.00,27,-287,-500
Sportium,10,2021/03/14 11:28 am,2021/03/14 11:32 am,-€10.00,14,-500,-500
Sportium,10,2021/03/14 11:27 am,2021/03/14 11:34 am,-€10.00,19,-306,-500
Sportium,10,2021/03/14 11:24 am,2021/03/14 11:28 am,-€10.00,13,-238,-500
Sportium,10,2021/03/14 11:22 am,2021/03/14 11:23 am,-€10.00,2,-227,-500
Sportium,10,2021/03/12  7:36 pm,2021/03/12  7:42 pm,-€10.00,20,-168,-500
Sportium,10,2021/03/12  7:31 pm,2021/03/12  7:34 pm,-€10.00,13,-369,-500
Sportium,10,2021/03/12  7:30 pm,2021/03/12  7:30 pm,-€10.00,3,-5,-500
Sportium,10,2021/03/12  7:24 pm,2021/03/12  7:29 pm,-€10.00,18,-49,-500
Sportium,10,2021/03/12  7:24 pm,2021/03/12  7:27 pm,-€10.00,8,13,-500
Sportium,10,2021/03/12  7:17 pm,2021/03/12  7:20 pm,-€10.00,11,-45,-500
Sportium,10,2021/03/12  1:13 pm,2021/03/12  1:17 pm,-€10.00,18,-210,-500
Sportium,10,2021/03/12  1:08 pm,2021/03/12  1:11 pm,-€10.00,7,-122,-500
Sportium,10,2021/03/12  1:04 pm,2021/03/12  1:08 pm,-€10.00,16,124,-500
Sportium,10,2021/03/12  1:03 pm,2021/03/12  1:07 pm,-€10.00,12,-106,-500
Sportium,10,2021/03/12 12:59 pm,2021/03/12  1:04 pm,-€10.00,15,-247,-500
Sportium,10,2021/03/12 12:56 pm,2021/03/12  1:00 pm,-€10.00,14,-170,-500
Sportium,10,2021/03/12 12:50 pm,2021/03/12 12:55 pm,-€10.00,15,-268,-500
Sportium,10,2021/03/12 12:48 pm,2021/03/12 12:55 pm,-€10.00,25,-462,-500
Sportium,10,2021/03/12 12:44 pm,2021/03/12 12:49 pm,-€10.00,17,-30,-500
Sportium,10,2021/03/12 12:44 pm,2021/03/12 12:45 pm,-€10.00,5,-308,-500
Sportium,10,2021/03/12 12:15 pm,2021/03/12 12:17 pm,-€10.00,9,-229,-500
Sportium,10,2021/03/12 12:08 pm,2021/03/12 12:14 pm,-€10.00,14,-148,-500
Sportium,10,2021/03/12 12:07 pm,2021/03/12 12:10 pm,-€10.00,7,178,-500
Sportium,10,2021/03/12 12:00 pm,2021/03/12 12:07 pm,-€10.00,25,14,-500
Sportium,10,2021/03/12 11:59 am,2021/03/12 12:01 pm,-€10.00,7,-197,-500
Sportium,10,2021/03/12 11:53 am,2021/03/12 11:59 am,-€10.00,20,154,-500
Sportium,10,2021/03/12 11:51 am,2021/03/12 11:54 am,-€10.00,10,56,-500
Sportium,10,2021/03/12 11:49 am,2021/03/12 11:50 am,-€10.00,6,-165,-500
Sportium,10,2021/03/11  8:38 pm,2021/03/11  8:40 pm,-€10.00,6,-152,-500
Sportium,10,2021/03/11  8:37 pm,2021/03/11  8:47 pm,-€10.00,43,-51,-500
Sportium,10,2021/03/11  8:35 pm,2021/03/11  8:36 pm,-€10.00,5,-182,-500
Sportium,10,2021/03/11  8:33 pm,2021/03/11  8:37 pm,-€10.00,20,-163,-500
Sportium,10,2021/03/11  7:16 pm,2021/03/11  7:22 pm,-€10.00,20,-250,-500
Sportium,10,2021/03/11  7:13 pm,2021/03/11  7:17 pm,-€10.00,18,166,-500
Sportium,10,2021/03/11  7:10 pm,2021/03/11  7:13 pm,-€10.00,8,-26,-500
Sportium,10,2021/03/11  7:07 pm,2021/03/11  7:09 pm,-€10.00,8,57,-500
Sportium,10,2021/03/11  7:07 pm,2021/03/11  7:07 pm,-€10.00,1,204,-500
Sportium,10,2021/03/11  7:05 pm,2021/03/11  7:09 pm,-€10.00,10,158,-500
Sportium,10,2021/03/11  6:55 pm,2021/03/11  7:00 pm,-€10.00,14,-196,-500
Sportium,10,2021/03/11  6:55 pm,2021/03/11  7:01 pm,-€10.00,18,-238,-500
Sportium,10,2021/03/11  6:49 pm,2021/03/11  6:50 pm,-€10.00,7,-34,-500
Sportium,10,2021/03/11  5:17 pm,2021/03/11  5:20 pm,-€10.00,9,113,-500
Sportium,10,2021/03/11  5:11 pm,2021/03/11  5:14 pm,-€10.00,6,251,-500
Sportium,10,2021/03/11 12:25 pm,2021/03/11 12:29 pm,-€10.00,15,33,-500
Sportium,10,2021/03/11 12:21 pm,2021/03/11 12:28 pm,-€10.00,26,451,-500
Sportium,10,2021/03/11 12:17 pm,2021/03/11 12:19 pm,-€10.00,4,-33,-500
Sportium,10,2021/03/11 12:11 pm,2021/03/11 12:17 pm,-€10.00,19,-279,-500
Sportium,10,2021/03/11 12:02 pm,2021/03/11 12:07 pm,-€10.00,16,-179,-500
Sportium,10,2021/03/10  7:53 pm,2021/03/10  7:55 pm,-€10.00,9,180,-500
Sportium,10,2021/03/10  7:50 pm,2021/03/10  7:52 pm,-€10.00,6,-276,-500
Sportium,10,2021/03/10  7:45 pm,2021/03/10  7:50 pm,-€10.00,10,-76,-500
Sportium,10,2021/03/10  7:40 pm,2021/03/10  7:44 pm,-€10.00,12,6,-500
Sportium,10,2021/03/10  7:39 pm,2021/03/10  7:45 pm,-€10.00,21,-21,-500
Sportium,10,2021/03/10  7:36 pm,2021/03/10  7:38 pm,-€10.00,9,-325,-500
Sportium,10,2021/03/10  7:32 pm,2021/03/10  7:35 pm,-€10.00,13,-170,-500
Sportium,10,2021/03/10  7:28 pm,2021/03/10  7:28 pm,-€10.00,3,-488,-500
Sportium,10,2021/03/10  7:27 pm,2021/03/10  7:31 pm,-€10.00,12,-293,-500
Sportium,10,2021/03/10  7:25 pm,2021/03/10  7:27 pm,-€10.00,6,251,-500
Sportium,10,2021/03/10  7:23 pm,2021/03/10  7:26 pm,-€10.00,11,-26,-500
Sportium,10,2021/03/10  7:23 pm,2021/03/10  7:24 pm,-€10.00,3,16,-500
Sportium,10,2021/03/10 12:46 pm,2021/03/10 12:50 pm,-€10.00,10,-300,-500
Sportium,10,2021/03/10 12:41 pm,2021/03/10 12:43 pm,-€10.00,5,223,-500
Sportium,10,2021/03/10 12:40 pm,2021/03/10 12:42 pm,-€10.00,5,15,-500
Sportium,10,2021/03/10 12:29 pm,2021/03/10 12:40 pm,-€10.00,38,-101,-500
Sportium,10,2021/03/10 12:24 pm,2021/03/10 12:29 pm,-€10.00,17,709,-500
Sportium,10,2021/03/10 11:55 am,2021/03/10 12:02 pm,-€10.00,25,510,-500
Sportium,10,2021/03/10 11:52 am,2021/03/10 11:59 am,-€10.00,21,-446,-500
Sportium,10,2021/03/10 11:52 am,2021/03/10 11:55 am,-€10.00,9,-193,-500
Sportium,10,2021/03/10 11:50 am,2021/03/10 11:51 am,-€10.00,4,42,-500
